Pregunta hecha,Veces que se preguntó,Respuestas acertadas,Respuestas erradas,Porcentaje Aciertos
¿Qué lenguaje de programación es conocido por su logo de una serpiente?,1,1,0,100.00%
¿Cuál es el planeta más cercano al Sol?,2,0,2,0.00%
¿Cuál es la capital de Francia?,1,1,0,100.00%
Cual es el premio mas importante de la industria del entrenimiento,1,0,1,0.00%
