Lautaro,4,2025-07-09 17:29:46,8.344
uyjktfjf,1,2025-07-09 17:30:10,6.097
Lauti,5,2025-07-09 17:32:17,8.783
Lautaro,9,2025-07-12 14:42:22,29.151
TTR,6,2025-07-12 17:34:05,18.458
TTTRY,2,2025-07-12 17:35:05,13.422
DMCVLSDCVNM,6,2025-07-12 17:35:52,13.196
dowkdd,0,2025-07-12 17:44:52,None
dowkdd,0,2025-07-12 17:44:53,4.249
efepk,1,2025-07-12 17:45:29,None
efepk,1,2025-07-12 17:45:31,4.735
kokok,0,2025-07-15 16:25:25,None
kokok,2,2025-07-15 16:25:29,None
bibbuo,0,2025-07-15 16:25:55,None
bibbuo,3,2025-07-15 16:25:59,None
frojm0of,3,2025-07-15 16:28:08,None
frojm0of,3,2025-07-15 16:28:08,None
frojm0of,3,2025-07-15 16:28:08,None
fepfkpfd,1,2025-07-15 16:31:20,None
fepfkpfd,1,2025-07-15 16:31:20,None
fepfkpfd,1,2025-07-15 16:31:20,None
fepfkpfd,1,2025-07-15 16:31:20,2.433
ofmoff,0,2025-07-15 16:34:39,None
ofmoff,0,2025-07-15 16:34:39,None
ofmoff,0,2025-07-15 16:34:39,None
ofmoff,0,2025-07-15 16:34:39,None
ofmoff,0,2025-07-15 16:34:39,10.036
dfoefdjkdo,0,2025-07-15 16:35:49,None
dfoefdjkdo,0,2025-07-15 16:35:49,None
dfoefdjkdo,0,2025-07-15 16:35:49,None
dfoefdjkdo,0,2025-07-15 16:35:49,10.004
oejfeofj,0,2025-07-15 16:42:30,12.879
pflpr,0,2025-07-15 16:46:45,8.762
epokepfk,0,2025-07-15 16:48:00,6.777
rfeodkdo,6,2025-07-15 16:53:30,11.75
kekfof,0,2025-07-15 16:59:53,8.955
ldjiedl,2,2025-07-15 17:10:03,7.27
jsodj,3,2025-07-15 17:14:53,6.975
kofk,0,2025-07-15 17:24:08,4.901
tgog,0,2025-07-15 17:34:00,4.821
owejd09efdjo,0,2025-07-15 17:38:34,5.331
dowdjwo,1,2025-07-15 17:44:49,7.599
jofejf,2,2025-07-15 17:52:11,6.801
pdkepfde,2,2025-07-15 17:57:36,6.951
djwodjwo,11,2025-07-15 17:58:25,35.993
jreojerwo,7,2025-07-16 13:41:24,30.237
ovy,5,2025-07-16 16:29:54,22.247
vhoo,3,2025-07-16 16:30:12,10.003
guog,0,2025-07-16 16:57:59,None
guog,0,2025-07-16 16:57:59,None
guog,0,2025-07-16 16:57:59,None
guog,0,2025-07-16 16:57:59,10.004
gyui,0,2025-07-16 16:59:50,20.391
vivi,1,2025-07-16 17:00:39,13.521
yuyu,12,2025-07-16 17:01:24,31.89
pjcac,2,2025-08-02 23:21:54,12.122
